"1";"o";"322";"7.703";"17.858";"4.173"
"2";".";"249";"3.727";"14.588";"0.197"
"3";",";"183";"3.110";"11.961";"-0.419"
"4";"ani";"143";"8.571";"11.927";"5.039"
"5";"být";"74";"2.691";"7.270";"-0.838"
"6";"ten";"42";"3.194";"5.772";"-0.336"
"7";"se";"39";"2.251";"4.933";"-1.278"
"8";"a";"36";"2.102";"4.603";"-1.427"
"9";")";"23";"4.410";"4.570";"0.879"
"10";"-";"20";"3.749";"4.140";"0.219"
"11";"""";"19";"1.674";"2.993";"-1.856"
"12";"v";"16";"1.390";"2.473";"-2.140"
"13";"na";"15";"1.598";"2.594";"-1.931"
"14";"(";"13";"3.628";"3.314";"0.097"
"15";"když";"10";"3.622";"2.905";"0.091"
"16";"tento";"9";"3.542";"2.742";"0.011"
"17";"s";"9";"1.793";"2.134";"-1.737"
"18";"mít";"9";"2.192";"2.343";"-1.338"
"19";"i";"8";"2.393";"2.290";"-1.137"
"20";"?";"8";"2.617";"2.367";"-0.913"
"21";"z";"8";"1.825";"2.030";"-1.705"
"22";"!";"8";"4.072";"2.660";"0.540"
"23";"všechen";"7";"3.174";"2.353";"-0.357"
"24";"k";"7";"2.273";"2.098";"-1.257"
"25";"co";"7";"2.624";"2.217";"-0.906"
"26";"oni";"7";"2.957";"2.305";"-0.574"
"27";"on";"7";"1.453";"1.679";"-2.077"
"28";"tenhle";"6";"4.841";"2.364";"1.306"
"29";"dítě";"6";"4.291";"2.324";"0.758"
"30";"...";"6";"3.908";"2.286";"0.375"
"31";"do";"5";"1.455";"1.420";"-2.075"
"32";"škola";"5";"5.122";"2.172";"1.584"
"33";"nějaký";"5";"4.429";"2.132";"0.894"
"34";"jiný";"5";"3.926";"2.089";"0.393"
"35";"tam";"5";"4.063";"2.102";"0.529"
"36";"pes";"5";"6.797";"2.216";"3.240"
"37";"já";"5";"1.896";"1.635";"-1.635"
"38";":";"5";"2.336";"1.793";"-1.195"
"39";"člověk";"5";"3.169";"1.987";"-0.363"
"40";"ale";"5";"1.726";"1.560";"-1.804"
"41";"tedy";"4";"4.167";"1.889";"0.632"
"42";"jenže";"4";"5.752";"1.963";"2.206"
"43";"vůbec";"4";"4.860";"1.931";"1.321"
"44";"politik";"4";"7.282";"1.987";"3.705"
"45";"pokud";"4";"4.133";"1.886";"0.598"
"46";";";"4";"4.368";"1.903";"0.832"
"47";"jeho";"4";"2.746";"1.702";"-0.786"
"48";"pro";"4";"1.953";"1.483";"-1.577"
"49";"tak";"4";"2.072";"1.524";"-1.459"
"50";"starý";"4";"4.402";"1.905";"0.866"
"51";"jejich";"4";"3.635";"1.839";"0.102"
"52";"že";"4";"0.649";"0.724";"-2.881"
"53";"při";"3";"2.934";"1.505";"-0.598"
"54";"většina";"3";"4.983";"1.677";"1.441"
"55";"aby|být";"3";"2.156";"1.343";"-1.375"
"56";"za";"3";"1.576";"1.151";"-1.955"
"57";"můj";"3";"3.210";"1.545";"-0.323"
"58";"různý";"3";"4.463";"1.654";"0.925"
"59";"pak";"3";"2.766";"1.477";"-0.766"
"60";"dopad";"3";"7.486";"1.722";"3.885"
"61";"úspora";"3";"8.213";"1.726";"4.567"
"62";"další";"3";"2.896";"1.499";"-0.637"
"63";"po";"3";"1.767";"1.223";"-1.763"
"64";"my";"3";"2.569";"1.440";"-0.963"
"65";"vlas";"3";"5.726";"1.699";"2.176"
"66";"jak";"3";"1.976";"1.292";"-1.555"
"67";"rodič";"3";"5.316";"1.689";"1.770"
"68";"rád";"3";"3.962";"1.621";"0.426"
"69";"zima";"3";"6.425";"1.712";"2.861"
"70";"dát";"3";"3.356";"1.563";"-0.178"
"71";"vy";"3";"3.001";"1.516";"-0.532"
"72";"dnes";"3";"4.080";"1.630";"0.544"
"73";"jen";"3";"2.132";"1.337";"-1.399"
"74";"finanční";"3";"6.174";"1.708";"2.615"
"75";"její";"3";"3.172";"1.540";"-0.361"
"76";"až";"3";"2.737";"1.472";"-0.795"
"77";"velký";"3";"2.566";"1.440";"-0.966"
"78";"dobře";"3";"3.725";"1.601";"0.190"
