"1";"být";"64";"4.683";"7.689";"-1.048"
"2";",";"41";"3.154";"5.684";"-2.577"
"3";"který";"19";"5.397";"4.255";"-0.334"
"4";"ten";"16";"4.003";"3.751";"-1.728"
"5";".";"14";"1.776";"2.649";"-3.955"
"6";"z";"13";"4.727";"3.469";"-1.004"
"7";"se";"8";"2.167";"2.199";"-3.564"
"8";"a";"7";"1.942";"1.957";"-3.789"
"9";"na";"7";"2.701";"2.239";"-3.030"
"10";"já";"6";"4.360";"2.330";"-1.371"
"11";"co";"6";"4.603";"2.349";"-1.128"
"12";"tento";"6";"5.158";"2.381";"-0.573"
"13";"""";"5";"1.949";"1.657";"-3.782"
"14";"v";"5";"1.913";"1.642";"-3.818"
"15";"kdo";"5";"6.877";"2.217";"1.145"
"16";"oni";"5";"4.673";"2.148";"-1.058"
"17";"teď";"4";"6.355";"1.976";"0.623"
"18";"ale";"4";"3.606";"1.836";"-2.125"
"19";"člověk";"3";"4.633";"1.662";"-1.098"
"20";"svůj";"3";"3.778";"1.606";"-1.953"
"21";"s";"3";"2.409";"1.406";"-3.322"
"22";"moci";"3";"3.667";"1.596";"-2.064"
"23";"mít";"3";"2.808";"1.485";"-2.923"
"24";"o";"3";"3.158";"1.538";"-2.573"
"25";"těžký";"3";"7.604";"1.723";"1.870"
"26";"všechen";"3";"4.153";"1.635";"-1.578"
"27";"on";"3";"2.432";"1.411";"-3.299"
